Bigram	Bigram Count	Uni Count	Bigram Prob
washington that	1	26	0.038461538461538464
that could	5	612	0.008169934640522876
could eventually	1	63	0.015873015873015872
eventually grow	1	5	0.2
grow to	1	4	0.25
a $	105	1783	0.05888951205832866
$ 9	3	387	0.007751937984496124
9 billion	2	7	0.2857142857142857
billion complex	1	153	0.006535947712418301
complex employing	1	7	0.14285714285714285
employing 6,000	1	2	0.5
6,000 people	1	1	1.0
people .	4	63	0.06349206349206349
<s> if	4	2220	0.0018018018018018018
if taiwan	1	49	0.02040816326530612
taiwan semiconductor	4	21	0.19047619047619047
semiconductor decides	1	55	0.01818181818181818
decides to	1	1	1.0
to locate	3	1551	0.0019342359767891683
locate in	1	6	0.16666666666666666
in washington	1	1651	0.0006056935190793458
washington ,	8	26	0.3076923076923077
it would	48	509	0.09430255402750491
would be	20	169	0.11834319526627218
be the	12	249	0.04819277108433735
the second	27	3676	0.0073449401523395
second time	1	41	0.024390243902439025
the past	8	3676	0.002176278563656148
past few	1	8	0.125
few months	4	30	0.13333333333333333
months that	1	41	0.024390243902439025
that a	15	612	0.024509803921568627
a leading	1	1783	0.0005608524957936063
leading chip	1	17	0.058823529411764705
chip maker	2	55	0.03636363636363636
maker has	1	41	0.024390243902439025
has picked	1	247	0.004048582995951417
picked the	1	6	0.16666666666666666
state to	4	87	0.04597701149425287
a major	10	1783	0.005608524957936063
major plant	1	26	0.038461538461538464
in september	4	1651	0.0024227740763173833
september ,	4	7	0.5714285714285714
, intel	1	3842	0.0002602811035918792
intel corp.	2	8	0.25
corp. announced	3	115	0.02608695652173913
announced it	6	59	0.1016949152542373
$ 3.5	1	387	0.002583979328165375
3.5 billion	2	2	1.0
billion plant	22	153	0.1437908496732026
<s> as	13	2220	0.005855855855855856
a result	10	1783	0.005608524957936063
result ,	5	16	0.3125
it landed	1	509	0.0019646365422396855
landed the	1	3	0.3333333333333333
the dupont	1	3676	0.0002720348204570185
dupont intel	1	3	0.3333333333333333
intel plant	1	8	0.125
and an	5	1342	0.0037257824143070045
an expansion	2	234	0.008547008547008548
expansion of	11	30	0.36666666666666664
a mashusita	1	1783	0.0005608524957936063
mashusita semiconductor	1	1	1.0
semiconductor plant	25	55	0.45454545454545453
in puyallup	3	1651	0.0018170805572380376
puyallup .	1	3	0.3333333333333333
's initial	1	617	0.0016207455429497568
initial u.s.	1	3	0.3333333333333333
u.s. investment	1	86	0.011627906976744186
investment would	2	54	0.037037037037037035
be in	5	249	0.020080321285140562
plant worth	1	2317	0.00043159257660768235
worth $	1	17	0.058823529411764705
$ 1.2	12	387	0.031007751937984496
1.2 billion	13	15	0.8666666666666667
billion to	9	153	0.058823529411764705
$ 1.5	3	387	0.007751937984496124
1.5 billion	1	4	0.25
billion with	1	153	0.006535947712418301
with about	1	301	0.0033222591362126247
about 1,000	5	158	0.03164556962025317
1,000 employees	1	8	0.125
employees ,	3	29	0.10344827586206896
, capable	1	3842	0.0002602811035918792
capable of	4	4	1.0
of producing	4	1569	0.0025493945188017845
producing 30,000	1	31	0.03225806451612903
30,000 eight-inch-diameter	1	4	0.25
eight-inch-diameter wafers	1	1	1.0
wafers per	3	6	0.5
month ,	16	48	0.3333333333333333
, norris	1	3842	0.0002602811035918792
norris said	1	1	1.0
the companies	7	3676	0.0019042437431991295
companies will	3	57	0.05263157894736842
will invest	8	389	0.02056555269922879
invest 30	1	28	0.03571428571428571
30 billion	1	40	0.025
billion yen	4	153	0.026143790849673203
yen -lrb-	1	9	0.1111111111111111
-lrb- $	23	220	0.10454545454545454
$ 291.77	1	387	0.002583979328165375
291.77 million	1	1	1.0
million -rrb-	12	288	0.041666666666666664
-rrb- in	5	227	0.022026431718061675
plant to	40	2317	0.017263703064307294
to test	2	1551	0.0012894906511927789
test 12-inch	1	7	0.14285714285714285
12-inch wafer	1	1	1.0
wafer technology	1	6	0.16666666666666666
technology ,	12	48	0.25
the first	41	3676	0.011153427638737758
first joint	1	81	0.012345679012345678
joint semiconductor	1	15	0.06666666666666667
semiconductor technology	1	55	0.01818181818181818
technology development	2	48	0.041666666666666664
